Model: 1, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 4, train_mae: 21.646984924623116, val_mae: 17.57857142857143
Model: 1, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 4, train_mae: 22.997487437185928, val_mae: 8.557142857142857
Model: 1, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 4, train_mae: 21.704773869346734, val_mae: 13.17142857142857
Model: 1, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 4, train_mae: 18.95854271356784, val_mae: 33.871428571428574
Model: 1, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 4, train_mae: 20.96105527638191, val_mae: 38.59285714285714
Model: 1, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 4, train_mae: 18.531407035175878, val_mae: 35.05
Model: 2, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 5, train_mae: 21.923366834170853, val_mae: 17.507142857142856
Model: 2, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 5, train_mae: 22.811557788944725, val_mae: 8.857142857142858
Model: 2, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 5, train_mae: 22.13065326633166, val_mae: 14.035714285714286
Model: 2, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 5, train_mae: 18.86180904522613, val_mae: 33.957142857142856
Model: 2, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 5, train_mae: 20.832914572864322, val_mae: 39.885714285714286
Model: 2, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 5, train_mae: 18.724874371859297, val_mae: 35.15714285714286
Model: 3, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 7, train_mae: 21.768844221105528, val_mae: 17.185714285714287
Model: 3, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 7, train_mae: 23.195979899497488, val_mae: 8.8
Model: 3, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 7, train_mae: 22.14070351758794, val_mae: 13.8
Model: 3, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 7, train_mae: 18.973618090452263, val_mae: 33.792857142857144
Model: 3, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 7, train_mae: 20.378140703517587, val_mae: 32.107142857142854
Model: 3, iterations: 500, learning_rate: 0.01, depth: 4, l2_leaf_reg: 7, train_mae: 18.85175879396985, val_mae: 35.07857142857143
Model: 4, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 4, train_mae: 19.329145728643216, val_mae: 18.235714285714284
Model: 4, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 4, train_mae: 20.47110552763819, val_mae: 10.164285714285715
Model: 4, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 4, train_mae: 20.66959798994975, val_mae: 13.385714285714286
Model: 4, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 4, train_mae: 17.610552763819097, val_mae: 33.47142857142857
Model: 4, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 4, train_mae: 19.07537688442211, val_mae: 34.35
Model: 4, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 4, train_mae: 17.276381909547737, val_mae: 34.628571428571426
Model: 5, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 5, train_mae: 19.923366834170853, val_mae: 18.014285714285716
Model: 5, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 5, train_mae: 20.8178391959799, val_mae: 10.414285714285715
Model: 5, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 5, train_mae: 20.09547738693467, val_mae: 13.407142857142857
Model: 5, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 5, train_mae: 17.520100502512562, val_mae: 32.90714285714286
Model: 5, iterations: 500, learning_rate: 0.01, depth: 7, l2_leaf_reg: 5, train_mae: 19.728643216080403, val_mae: 32.07857142857143
